snapshot_index,num_nodes,num_edges,up_target,down_target,up_ratio,down_ratio,connectivity,dataset,dataset_path,snapshot_id,total_snapshots
93,721,395067,370,351,0.5131761442441054,0.4868238557558946,0.7610321312991216,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,93,208
94,721,393667,492,229,0.6823855755894591,0.3176144244105409,0.7583352596702111,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,94,208
95,721,391784,233,488,0.3231622746185853,0.6768377253814146,0.7547079673293265,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,95,208
96,721,396844,155,566,0.21497919556171982,0.7850208044382802,0.7644552319309601,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,96,208
97,721,393999,111,610,0.1539528432732316,0.8460471567267684,0.7589748035136384,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,97,208
98,721,395437,234,487,0.3245492371705964,0.6754507628294035,0.761744875943905,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,98,208
99,721,394982,641,80,0.8890429958391124,0.1109570041608876,0.7608683926645091,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,99,208
100,721,399942,446,275,0.6185852981969486,0.38141470180305137,0.7704230235783633,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,100,208
101,721,397849,136,585,0.18862690707350901,0.811373092926491,0.7663912004931422,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,101,208
102,721,395188,527,194,0.7309292649098474,0.26907073509015256,0.7612652180613345,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,102,208
103,721,393172,564,157,0.782246879334258,0.21775312066574204,0.7573817229157035,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,103,208
104,721,388319,618,103,0.8571428571428571,0.1428571428571429,0.7480332100477731,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,104,208
105,721,390713,204,517,0.2829403606102635,0.7170596393897365,0.75264486053321,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,105,208
106,721,391527,231,490,0.32038834951456313,0.6796116504854368,0.7542128987517337,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,106,208
107,721,392411,415,306,0.5755894590846047,0.4244105409153953,0.7559157805517028,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,107,208
108,721,392312,246,475,0.34119278779472956,0.6588072122052704,0.7557250732008014,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,108,208
109,721,391124,430,291,0.5963938973647711,0.4036061026352289,0.753436584989983,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,109,208
110,721,393215,288,433,0.39944521497919555,0.6005547850208044,0.7574645554014486,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,110,208
111,721,394888,490,231,0.6796116504854369,0.3203883495145631,0.7606873169979966,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,111,208
112,721,391696,646,75,0.8959778085991679,0.10402219140083213,0.7545384496840808,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,112,208
113,721,394127,319,402,0.44244105409153955,0.5575589459084604,0.759221374633996,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,113,208
114,721,396265,499,222,0.6920943134535368,0.3079056865464632,0.7633398828787178,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,114,208
115,721,396209,171,550,0.23717059639389737,0.7628294036061026,0.7632320080135614,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,115,208
116,721,396563,242,479,0.3356449375866852,0.6643550624133148,0.7639139312683002,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,116,208
117,721,395654,455,266,0.6310679611650486,0.3689320388349514,0.7621628910463862,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,117,208
118,721,391677,201,520,0.2787794729542302,0.7212205270457698,0.7545018492834027,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,118,208
119,721,395185,381,340,0.5284327323162274,0.47156726768377255,0.7612594390507011,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,119,208
120,721,394503,48,673,0.06657420249653259,0.9334257975034674,0.7599456773000463,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,120,208
121,721,391894,132,589,0.18307905686546463,0.8169209431345353,0.7549198643858838,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,121,208
122,721,392636,81,640,0.11234396671289876,0.8876560332871013,0.7563492063492063,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,122,208
123,721,391532,375,346,0.5201109570041609,0.4798890429958391,0.7542225304361226,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,123,208
124,721,391342,504,217,0.6990291262135923,0.30097087378640774,0.753856526429342,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,124,208
125,721,392111,557,164,0.7725381414701803,0.2274618585298197,0.755337879488365,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,125,208
126,721,392630,414,307,0.5742024965325936,0.4257975034674064,0.7563376483279396,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,126,208
127,721,396220,578,143,0.8016643550624133,0.1983356449375867,0.7632531977192172,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,127,208
128,721,393071,534,187,0.7406380027739251,0.2593619972260749,0.7571871628910464,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,128,208
129,721,391387,95,626,0.1317614424410541,0.868238557558946,0.7539432115888427,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,129,208
130,721,392568,218,503,0.30235783633841884,0.6976421636615812,0.7562182154415165,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,130,208
131,721,392992,315,406,0.4368932038834951,0.5631067961165048,0.7570349822777007,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,131,208
